,Plugins,Integrations,Atlassian Integrations,Chat integration,DVCS integration,Cost/10 users/mo,SaaS,
Crucible,y,y,y,y,y,83.33333333,y,$1000 one time payment
Gerrit,n,y,y,y,y,,y,
Audit,n,y,y,y,n,200,a,"Part of Phabricator license, one license for all tools"
Gitlab,n,y,y,y,y,0,a,Free/Optional $199.80 support fee
GitHub,n,y,y,y,y,208.3333333,y,Part of github enterprise
